timestamp,flow_rate,speed,location,direction,data_source,processing_timestamp
2019-11-14 22:15:00,27,23.556,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,8,14.25,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,1,9.0,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,7,17.0,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,3,13.333,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,1,13.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,2,2.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,2,1.5,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,3,4.667,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,3,12.0,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,5,29.6,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,1,0.0,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,1,12.0,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,40,35.975,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:15:00,66,38.455,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,5,13.6,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,4,26.5,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,3,17.0,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,5,15.4,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,55,32.255,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,29,26.207,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,2,13.5,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,2,8.5,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,8,13.25,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,3,22.0,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,3,0.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,1,5.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,2,0.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,47,38.745,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:30:00,62,38.097,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300
2019-11-14 22:45:00,5,15.8,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300
