timestamp,speed,location,latitude,longitude,direction,vehicle_type,data_source,processing_timestamp
2025-08-12 17:06:00,30,"{'type': 'Point', 'coordinates': [-87.699420902798, 41.778918302534]}",,-87.6994209028,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:00:00,30,"{'type': 'Point', 'coordinates': [-87.629482221982, 41.890875368292]}",,-87.629482222,N,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:00:00,30,"{'type': 'Point', 'coordinates': [-87.798098090542, 41.934599796559]}",Y,-87.7980980905,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:00:00,30,"{'type': 'Point', 'coordinates': [-87.746243590888, 41.924349915846]}",Y,-87.7462435909,W,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:00:00,30,"{'type': 'Point', 'coordinates': [-87.708708150317, 41.811208185305]}",,-87.7087081503,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:00:00,30,"{'type': 'Point', 'coordinates': [-87.629355564469, 41.883105736973]}",,-87.6293555645,W,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:54:00,30,"{'type': 'Point', 'coordinates': [-87.641287805059, 41.838935577932]}",,-87.6412878051,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:45:00,30,"{'type': 'Point', 'coordinates': [-87.760310630701, 41.876694824793]}",,-87.7603106307,W,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:39:00,30,"{'type': 'Point', 'coordinates': [-87.688442090612, 41.917611021237]}",Y,-87.6884420906,N,PEDALCYCLIST,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:35:00,30,"{'type': 'Point', 'coordinates': [-87.635607277683, 41.895682893956]}",,-87.6356072777,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:35:00,30,"{'type': 'Point', 'coordinates': [-87.623324584803, 41.7218320075]}",,-87.6233245848,E,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:35:00,30,"{'type': 'Point', 'coordinates': [-87.591314808038, 41.773237896191]}",,-87.591314808,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:30:00,30,"{'type': 'Point', 'coordinates': [-87.683307411076, 41.851950606784]}",Y,-87.6833074111,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:30:00,25,"{'type': 'Point', 'coordinates': [-87.684660487686, 41.901346493728]}",,-87.6846604877,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:30:00,30,"{'type': 'Point', 'coordinates': [-87.714888279388, 41.842642108893]}",Y,-87.7148882794,S,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:30:00,30,"{'type': 'Point', 'coordinates': [-87.6666743625, 41.88195230891]}",,-87.6666743625,N,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:30:00,25,"{'type': 'Point', 'coordinates': [-87.6190610425, 41.894119510544]}",,-87.6190610425,E,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:28:00,30,"{'type': 'Point', 'coordinates': [-87.760385832132, 41.876693741403]}",,-87.7603858321,W,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:27:00,15,"{'type': 'Point', 'coordinates': [-87.697322831975, 41.783583445427]}",,-87.697322832,S,FIXED OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:25:00,35,"{'type': 'Point', 'coordinates': [-87.684987017655, 41.924825608637]}",,-87.6849870177,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:20:00,30,"{'type': 'Point', 'coordinates': [-87.721490386516, 41.990338165844]}",,-87.7214903865,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:20:00,30,"{'type': 'Point', 'coordinates': [-87.624396673836, 41.875259825819]}",,-87.6243966738,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:20:00,30,"{'type': 'Point', 'coordinates': [-87.700402236781, 41.806219355845]}",Y,-87.7004022368,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:20:00,30,"{'type': 'Point', 'coordinates': [-87.524767378713, 41.697719388895]}",,-87.5247673787,S,FIXED OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:20:00,30,"{'type': 'Point', 'coordinates': [-87.626740364026, 41.772576301797]}",Y,-87.626740364,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:15:00,30,"{'type': 'Point', 'coordinates': [-87.620219059938, 41.867470775841]}",Y,-87.6202190599,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:15:00,30,"{'type': 'Point', 'coordinates': [-87.665703759172, 41.823037257322]}",,-87.6657037592,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:15:00,30,"{'type': 'Point', 'coordinates': [-87.675514139255, 41.845247002463]}",Y,-87.6755141393,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:15:00,30,"{'type': 'Point', 'coordinates': [-87.643122563342, 41.897674852449]}",,-87.6431225633,N,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:10:00,30,"{'type': 'Point', 'coordinates': [-87.660479780727, 41.858854214226]}",,-87.6604797807,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 16:02:00,30,"{'type': 'Point', 'coordinates': [-87.649067622232, 41.950576516362]}",,-87.6490676222,N,PEDESTRIAN,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:50:00,30,"{'type': 'Point', 'coordinates': [-87.719876473853, 41.880911083518]}",,-87.7198764739,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:45:00,30,"{'type': 'Point', 'coordinates': [-87.689871357614, 41.924768619623]}",Y,-87.6898713576,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:41:00,25,"{'type': 'Point', 'coordinates': [-87.524690667899, 41.702721216802]}",,-87.5246906679,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:38:00,30,"{'type': 'Point', 'coordinates': [-87.591437378977, 41.756786413802]}",,-87.591437379,E,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:30:00,30,"{'type': 'Point', 'coordinates': [-87.580147768689, 41.791420282098]}",,-87.5801477687,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:30:00,30,"{'type': 'Point', 'coordinates': [-87.708760458881, 41.841641727983]}",,-87.7087604589,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:30:00,30,"{'type': 'Point', 'coordinates': [-87.699800606137, 41.764535340977]}",,-87.6998006061,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:30:00,30,"{'type': 'Point', 'coordinates': [-87.731730093759, 41.924534800435]}",Y,-87.7317300938,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 15:00:00,30,"{'type': 'Point', 'coordinates': [-87.653496012134, 41.772454815072]}",,-87.6534960121,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:45:00,15,"{'type': 'Point', 'coordinates': [-87.646416763692, 41.837736458648]}",,-87.6464167637,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:38:00,30,"{'type': 'Point', 'coordinates': [-87.66310493406, 41.910806819199]}",,-87.6631049341,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:37:00,30,"{'type': 'Point', 'coordinates': [-87.743170422752, 41.886356232378]}",Y,-87.7431704228,W,FIXED OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:36:00,20,"{'type': 'Point', 'coordinates': [-87.711671303839, 41.746871523923]}",,-87.7116713038,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:34:00,20,"{'type': 'Point', 'coordinates': [-87.612786858929, 41.737529333109]}",,-87.6127868589,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:30:00,25,"{'type': 'Point', 'coordinates': [-87.684175376759, 41.79337055433]}",Y,-87.6841753768,S,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:25:00,30,"{'type': 'Point', 'coordinates': [-87.645770708482, 41.823254562974]}",,-87.6457707085,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:24:00,30,"{'type': 'Point', 'coordinates': [-87.624000926976, 41.875618388352]}",Y,-87.624000927,E,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:20:00,30,"{'type': 'Point', 'coordinates': [-87.787296157159, 41.938206038051]}",,-87.7872961572,N,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:20:00,25,"{'type': 'Point', 'coordinates': [-87.745133194265, 41.880566993238]}",Y,-87.7451331943,N,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:17:00,30,"{'type': 'Point', 'coordinates': [-87.723043394499, 41.794274261747]}",,-87.7230433945,S,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:15:00,25,"{'type': 'Point', 'coordinates': [-87.705127810739, 41.842602526365]}",Y,-87.7051278107,S,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
