record_id,atd_device_id,read_date,intersection_name,direction,movement,heavy_vehicle,volume,speed_average,speed_stddev,seconds_in_zone_average,seconds_in_zone_stddev,month,day,year,hour,minute,day_of_week,bin_duration
1d3fab2556b1b26f01dc93229e685e03,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,LEFT TURN,True,1,11.0,0.0,0.1,0.0,11,14,2019,21,45,4,900
150d02f2816836cfdeb82ad245d9ebf6,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,RIGHT TURN,False,1,0.0,0.0,1.9,0.0,11,14,2019,21,45,4,900
83f070fc31b9af5a1694c67ecf5ed4a2,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,RIGHT TURN,True,1,0.0,0.0,0.2,0.0,11,14,2019,21,45,4,900
e84e304042ec10ac5c004350f7e78ef8,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,False,2,0.0,0.0,0.15,0.071,11,14,2019,21,45,4,900
75f4c765584dcad9081fa8ab7a1111b3,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,True,4,1.75,3.5,0.7,1.2,11,14,2019,21,45,4,900
2f7fef9d9f4a0e4b9409ee0a70a6acee,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,False,1,23.0,0.0,2.4,0.0,11,14,2019,21,45,4,900
3ff78b02b8f2990a49ec408f7dcbe2b5,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,True,2,31.5,34.648,11.95,15.486,11,14,2019,21,45,4,900
2a8517d9c410cea19e9dacba696fd8ed,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,RIGHT TURN,False,1,16.0,0.0,1.2,0.0,11,14,2019,21,45,4,900
41e0849948f89d5657cf45ff8d9ac34c,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,False,58,38.81,14.763,0.809,0.637,11,14,2019,21,45,4,900
8b86b33980f8f0e53fc5d492b025408d,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,True,91,36.527,12.222,1.207,1.609,11,14,2019,21,45,4,900
73bf454b5f8693d3411722afc2287bc1,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,False,8,14.625,4.658,1.088,1.445,11,14,2019,22,0,4,900
79f845fe809e2b3aac0587ed16f5c523,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,True,6,25.0,16.137,3.233,3.098,11,14,2019,22,0,4,900
a10c60fb8e50921fb8fc2c35c3b93ed1,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,False,4,14.5,1.0,3.425,0.556,11,14,2019,22,0,4,900
3bf3479fa6fa05c1ca5da73325346c66,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,True,4,11.5,2.517,3.375,2.855,11,14,2019,22,0,4,900
589bd7f0b57d20f980471c68bc80f673,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,False,52,34.827,13.343,1.917,2.298,11,14,2019,22,0,4,900
f344be5d7e2851d44f43818f0159b672,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,True,25,30.72,13.126,1.424,1.125,11,14,2019,22,0,4,900
53943b2ae67a3b26aa9e58325cfda0e1,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,False,6,12.833,4.875,3.767,1.673,11,14,2019,22,0,4,900
613d3bac05ed0d17a12d02a8eb4e0f8a,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,True,1,14.0,0.0,5.8,0.0,11,14,2019,22,0,4,900
63dd540780bd8ae4a3f9077cf5eed653,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,RIGHT TURN,False,1,0.0,0.0,7.1,0.0,11,14,2019,22,0,4,900
5751caf0ee05d73dda657320e5a6472d,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,False,1,5.0,0.0,4.8,0.0,11,14,2019,22,0,4,900
715725019aac697a6f59e1ed3375cd56,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,LEFT TURN,False,1,9.0,0.0,0.5,0.0,11,14,2019,22,0,4,900
dc1cee64a9974c51bdebed15a2eb0427,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,LEFT TURN,True,1,15.0,0.0,96.2,0.0,11,14,2019,22,0,4,900
2c4a82a7d00845833e205360b0463fd1,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,RIGHT TURN,True,1,7.0,0.0,0.1,0.0,11,14,2019,22,0,4,900
c8335e1e7bc6ad9ac69107bed894d96e,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,False,2,9.0,5.657,2.3,0.99,11,14,2019,22,0,4,900
931d3ca2e69ab47366a03f55996e0f72,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,True,5,9.8,5.31,0.86,1.101,11,14,2019,22,0,4,900
